fromNode	toNode	weight	direction	fromAltName	toAltName
MMT00001154	MMT00066001	0.195671077372786	undirected	2600001J17Rik	Cdca1
MMT00001154	MMT00066813	0.142836981879067	undirected	2600001J17Rik	Smc2l1
MMT00001154	MMT00067823	0.0504907959403913	undirected	2600001J17Rik	Anxa2
MMT00001154	MMT00068013	0.163578242136769	undirected	2600001J17Rik	Ccnb1
MMT00001154	MMT00068808	0.199697699607194	undirected	2600001J17Rik	Mcm6
MMT00001154	MMT00069111	0.161393561254427	undirected	2600001J17Rik	BC034753
MMT00001154	MMT00069686	0.182052121632928	undirected	2600001J17Rik	Mlr1
MMT00001154	MMT00069799	0.159671704428348	undirected	2600001J17Rik	Calmbp1
MMT00001154	MMT00070040	0.0518535686551734	undirected	2600001J17Rik	Dck
MMT00001154	MMT00070699	0.0612208709729883	undirected	2600001J17Rik	2310047C17Rik
MMT00001154	MMT00071357	0.149146312009817	undirected	2600001J17Rik	AW209059
MMT00001154	MMT00071378	0.144359832045458	undirected	2600001J17Rik	2610002D18Rik
MMT00001154	MMT00071845	0.0723208381252851	undirected	2600001J17Rik	Hmgb2
MMT00001154	MMT00072152	0.14602781533005	undirected	2600001J17Rik	Pbk
MMT00001154	MMT00072904	0.21133983932503	undirected	2600001J17Rik	2600005O03Rik
MMT00001154	MMT00072999	0.152222491430251	undirected	2600001J17Rik	Mcm4
MMT00001154	MMT00075200	0.189850236710488	undirected	2600001J17Rik	Atad2
MMT00001154	MMT00076421	0.185840289090323	undirected	2600001J17Rik	2310043D08Rik
MMT00001154	MMT00077765	0.139220132707235	undirected	2600001J17Rik	5730547N13Rik
MMT00001154	MMT00079309	0.189843007603998	undirected	2600001J17Rik	Exo1
MMT00001154	MMT00079343	0.206571568299003	undirected	2600001J17Rik	2310031L18Rik
MMT00001154	MMT00080541	0.115552001079663	undirected	2600001J17Rik	Ltb4dh
MMT00001185	MMT00003081	0.0665241831113028	undirected	Nrarp	2310046G15Rik
MMT00001185	MMT00003586	0.071997934799443	undirected	Nrarp	1200003C23Rik
MMT00001185	MMT00003982	0.0560907779269729	undirected	Nrarp	A830073O21Rik
MMT00001185	MMT00003994	0.0600187952080043	undirected	Nrarp	Sparc
MMT00001185	MMT00004844	0.0832682054965206	undirected	Nrarp	Eltd1
MMT00001185	MMT00006097	0.070829053227321	undirected	Nrarp	Jam2
MMT00001185	MMT00006315	0.0785659860369883	undirected	Nrarp	5031439A09Rik
MMT00001185	MMT00006709	0.0706635947465882	undirected	Nrarp	Zfp521
MMT00001185	MMT00006713	0.12711951975618	undirected	Nrarp	Ppic
MMT00001185	MMT00007042	0.0539132445478068	undirected	Nrarp	Aard
MMT00001185	MMT00007277	0.0793245503753284	undirected	Nrarp	2600017H02Rik
MMT00001185	MMT00008094	0.0588974164726649	undirected	Nrarp	Rtn1
MMT00001185	MMT00008463	0.0574477251891978	undirected	Nrarp	Pdir
MMT00001185	MMT00008968	0.0505181093999473	undirected	Nrarp	Ggta1
MMT00001185	MMT00008970	0.0980643769524584	undirected	Nrarp	NA
MMT00001185	MMT00009690	0.0882931356600898	undirected	Nrarp	NA
MMT00001185	MMT00009857	0.0588617199447112	undirected	Nrarp	Fbln2
MMT00001185	MMT00009951	0.0618474361210293	undirected	Nrarp	Sgce
MMT00001185	MMT00010873	0.0732702451887838	undirected	Nrarp	Atp8b2
MMT00001185	MMT00010907	0.081209206636244	undirected	Nrarp	Zfp503
MMT00001185	MMT00012203	0.0637482625719684	undirected	Nrarp	4632428N05Rik
MMT00001185	MMT00013100	0.0596147565718067	undirected	Nrarp	2810489O06Rik
MMT00001185	MMT00013122	0.0729719324663861	undirected	Nrarp	Nbea
MMT00001185	MMT00013759	0.0517322193160718	undirected	Nrarp	Sh3d4
MMT00001185	MMT00014630	0.0620134233854416	undirected	Nrarp	Cnr2
MMT00001185	MMT00015180	0.0626683843794483	undirected	Nrarp	1500041B16Rik
MMT00001185	MMT00015289	0.0717953017428712	undirected	Nrarp	Akr1b8
MMT00001185	MMT00015674	0.0871409501425883	undirected	Nrarp	Agpt2
MMT00001185	MMT00016457	0.0597017148739754	undirected	Nrarp	E230026N22Rik
MMT00001185	MMT00017188	0.0728717688108231	undirected	Nrarp	Ian6
MMT00001185	MMT00018071	0.0881629562559606	undirected	Nrarp	Tek
