nodeName	altName	nodeAttr[nodesPresent, ]
MMT00071772	AI428936	brown
MMT00071845	Hmgb2	red
MMT00071856	Col4a2	brown
MMT00071857	2410004L22Rik	brown
MMT00071976	AI173486	brown
MMT00072000	Cyp2c37	red
MMT00072042	Col14a1	brown
MMT00072057	Col4a1	brown
MMT00072152	Pbk	red
MMT00072237	Wisp1	brown
MMT00072411	Drctnnb1a	brown
MMT00072657	Calcrl	brown
MMT00072904	2600005O03Rik	red
MMT00072999	Mcm4	red
MMT00073157	1700021K02Rik	brown
MMT00073211	5730528L13Rik	brown
MMT00073308	Plat	brown
MMT00073344	Abcc9	brown
MMT00073365	Itih4	brown
MMT00073393	3300002I08Rik	red
MMT00073735	Slc37a1	brown
MMT00073829	Fmnl2	brown
MMT00074488	Epb4.1l2	brown
MMT00074499	Rgs3	brown
MMT00074515	1700028N11Rik	red
MMT00074523	Pdlim2	brown
MMT00074527	Tk1	brown
MMT00074541	Nid1	red
MMT00074580	Mbl1	brown
MMT00074886	Notch4	brown
MMT00074990	Hey1	brown
MMT00075171	2810004A10Rik	brown
MMT00075200	Atad2	red
MMT00075402	Thbs2	brown
MMT00075556	Tm4sf2	brown
MMT00075754	3732412D22Rik	brown
MMT00075972	Cyp2c55	red
MMT00076056	Slc6a8	brown
MMT00076233	Nr2f1	brown
MMT00076371	Tulp3	brown
MMT00076382	Bucs1	brown
MMT00076421	2310043D08Rik	red
MMT00076508	Ubd	red
MMT00076602	Col5a1	brown
MMT00076621	2010002N04Rik	red
MMT00076754	Casp12	brown
MMT00076864	Hoxb2	brown
MMT00077152	Hey2	brown
MMT00077244	mKIAA1236	brown
MMT00077279	Cks1	red
MMT00077345	Maged2	brown
MMT00077649	Lox	brown
MMT00077765	5730547N13Rik	red
MMT00078015	Col1a1	brown
MMT00078110	Ptpn13	brown
MMT00078258	Serpina3c	brown
MMT00078486	Crat	brown
MMT00078698	Kcnj8	brown
MMT00078723	Mmp2	brown
MMT00078732	9430028I06Rik	red
MMT00078816	Olfml3	brown
MMT00078851	F7	brown
MMT00078976	Cd36	brown
MMT00079074	D330012D11Rik	brown
MMT00079144	Pde6h	brown
MMT00079155	Anxa1	brown
MMT00079156	Ms4a4d	brown
MMT00079213	Mlp	brown
MMT00079309	Exo1	red
MMT00079316	Fmnl3	brown
MMT00079343	2310031L18Rik	red
MMT00079723	Fkhl18	brown
MMT00079874	Tjp2	brown
MMT00080541	Ltb4dh	red
MMT00080548	Sdc4	red
MMT00080695	9630050M13Rik	brown
MMT00081019	Ltbp3	brown
MMT00081127	Gm644	brown
MMT00081133	Serpina1a	red
MMT00081171	Cmya4	brown
MMT00081331	Itih1	brown
MMT00081375	Fhl2	brown
MMT00081436	Sdpr	brown
MMT00081439	Ugdh	red
MMT00081543	Serpina3m	red
MMT00081571	Nptxr	brown
MMT00081689	NA	red
MMT00081975	B4galt2	brown
MMT00082041	Dnajc12	brown
MMT00082551	Lrg1	brown
MMT00082556	Abcg5	red
MMT00082712	Lrat	brown
MMT00082759	Boc	brown
